 -------------------------------------------------------------------
 Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta
 -------------------------------------------------------------------
     0             -        5.000000E+01            -           10
     1             8        5.000000E+01      1.000000E+01      10
     2             9        5.000000E+01      1.000000E+01      10
     3             9        5.000000E+01      1.000000E+01      10
     4             9        5.000000E+01      1.000000E+01      10
     5             9        5.000000E+01      1.000000E+01      10
     6             9        5.000000E+01      1.000000E+01      10
     7             9        5.000000E+01      1.000000E+01      10
     8             9        5.000000E+01      1.000000E+01      10
     9             9        5.000000E+01      1.000000E+01      10
    10             9        5.000000E+01      1.000000E+01      10
    11             9        5.000000E+01      1.000000E+01      10
    12             9        5.000000E+01      1.000000E+01      10
    13             9        5.000000E+01      1.000000E+01      10
    14             9        5.000000E+01      1.000000E+01      10
    15             9        5.000000E+01      1.000000E+01      10
    16             9        5.000000E+01      1.000000E+01      10
    17             9        5.000000E+01      1.000000E+01      10
    18             9        5.000000E+01      1.000000E+01      10
    19             9        5.000000E+01      1.000000E+01      10
    20             9        5.000000E+01      1.000000E+01      10
    21             9        5.000000E+01      1.000000E+01      10
    22             9        5.000000E+01      1.000000E+01      10
    23             9        5.000000E+01      1.000000E+01      10
    24             9        5.000000E+01      1.000000E+01      10
    25             9        5.000000E+01      1.000000E+01      10
    26             9        5.000000E+01      1.000000E+01      10
    27             9        5.000000E+01      1.000000E+01      10
    28             9        5.000000E+01      1.000000E+01      10
    29            10        5.000000E+01      1.000000E+01      10
    30            10        5.000000E+01      1.000000E+01      10
    31            10        5.000000E+01      1.000000E+01      10
    32            10        5.000000E+01      1.000000E+01      10
    33            10        5.000000E+01      1.000000E+01      10
    34            10        5.000000E+01      1.000000E+01      10
    35            10        5.000000E+01      1.000000E+01      10
    36            10        5.000000E+01      1.000000E+01      10
    37            10        5.000000E+01      1.000000E+01      10
    38            10        5.000000E+01      1.000000E+01      10
    39            10        5.000000E+01      1.000000E+01      10
    40            10        5.000000E+01      1.000000E+01      10
    41            10        5.000000E+01      1.000000E+01      10
    42            10        5.000000E+01      1.000000E+01      10
    43            10        5.000000E+01      1.000000E+01      10
    44            10        5.000000E+01      1.000000E+01      10
    45            10        5.000000E+01      1.000000E+01      10
    46            10        5.000000E+01      1.000000E+01      10
    47            10        5.000000E+01      1.000000E+01      10
    48            10        5.000000E+01      1.000000E+01      10
    49            10        5.000000E+01      1.000000E+01      10
    50            10        5.000000E+01      1.000000E+01      10
    51            10        5.000000E+01      1.000000E+01      10
    52            10        5.000000E+01      1.000000E+01      10
    53            10        5.000000E+01      1.000000E+01      10
    54            10        5.000000E+01      1.000000E+01      10
    55            10        5.000000E+01      1.000000E+01      10
    56            10        5.000000E+01      1.000000E+01      10
    57            10        5.000000E+01      1.000000E+01      10
    58            10        5.000000E+01      1.000000E+01      10
    59            10        5.000000E+01      1.000000E+01      10
